,Age,Candidate,Criminal_Case,District,Education,Party,State,Winner,Year,Liabilities_num,Assets_num
0,52,Kuldeep Rai Sharma,0,ANDAMAN AND NICOBAR ISLANDS,Graduate Professional,INC,ANDAMAN,Yes,2019,80450870,132233012
1,30,Ayan Mandal,0,ANDAMAN AND NICOBAR ISLANDS,Graduate,AITC,ANDAMAN,No,2019,1500000,7270440
2,48,C G Saji Kumar,0,ANDAMAN AND NICOBAR ISLANDS,12th Pass,All India Hindustan Congress Party,ANDAMAN,No,2019,0,120000
3,34,C U Rasheed,0,ANDAMAN AND NICOBAR ISLANDS,12th Pass,IND,ANDAMAN,No,2019,1700000,202808
4,52,Gour Chandra Majumder,0,ANDAMAN AND NICOBAR ISLANDS,Graduate,IND,ANDAMAN,No,2019,0,6062000
5,50,Henry,0,ANDAMAN AND NICOBAR ISLANDS,10th Pass,IND,ANDAMAN,No,2019,0,56459
6,66,K Kalimuthu,0,ANDAMAN AND NICOBAR ISLANDS,8th Pass,IND,ANDAMAN,No,2019,0,5850000
7,45,K Venkat Ram Babu,0,ANDAMAN AND NICOBAR ISLANDS,10th Pass,IND,ANDAMAN,No,2019,0,352000
8,51,Minati Biswas,0,ANDAMAN AND NICOBAR ISLANDS,8th Pass,IND,ANDAMAN,No,2019,400000,3198500
9,61,Paritosh Kumar Haldar,0,ANDAMAN AND NICOBAR ISLANDS,Post Graduate,IND,ANDAMAN,No,2019,1311000,19916000
10,43,Prakash Minj,0,ANDAMAN AND NICOBAR ISLANDS,Post Graduate,BSP,ANDAMAN,No,2019,240000,1250000
11,58,S Sudershan Rao,0,ANDAMAN AND NICOBAR ISLANDS,Doctorate,IND,ANDAMAN,No,2019,8000000,8760000
12,49,Sanjay Meshack,0,ANDAMAN AND NICOBAR ISLANDS,12th Pass,AAP,ANDAMAN,No,2019,1791076,99887782
13,51,V V Khalid,0,ANDAMAN AND NICOBAR ISLANDS,8th Pass,IND,ANDAMAN,No,2019,350000,1512000
14,46,Vishal Jolly,1,ANDAMAN AND NICOBAR ISLANDS,Graduate Professional,BJP,ANDAMAN,No,2019,4633914,85140573
15,46,"Sridhar Kotagiri	",0,ELURU,Graduate,YSRCP,ANDHRA PRADESH,Yes,2019,33560974,462808829
16,49,Alaga Ravi Kumar,0,ELURU,10th Pass,IND,ANDHRA PRADESH,No,2019,0,0
17,58,Chinnam Rama Kotayya,0,ELURU,10th Pass,BJP,ANDHRA PRADESH,No,2019,7713964,100961778
18,55,Gurunadha Rao Jetti,0,ELURU,Graduate,INC,ANDHRA PRADESH,No,2019,2402881,69600598
19,62,Josyula China Venkata Suryanarayana,0,ELURU,Graduate,Pyramid Party of India,ANDHRA PRADESH,No,2019,2500000,12035000
20,59,Maganti Venkateswara Rao,1,ELURU,10th Pass,TDP,ANDHRA PRADESH,No,2019,33303902,199762023
21,29,Mathe Bobby,0,ELURU,12th Pass,RPI(A),ANDHRA PRADESH,No,2019,0,10000
22,46,Mendem Santhosh Kumar,0,ELURU,Others,IND,ANDHRA PRADESH,No,2019,0,10000
23,55,V Siva Rama Krishna,0,ELURU,10th Pass,Jana Jagruti Party,ANDHRA PRADESH,No,2019,0,2700000
24,26,Goddeti Madhavi,0,ARAKU,Graduate Professional,YSRCP,ANDHRA PRADESH,Yes,2019,0,141179
25,41,Anumula Vamsi Krishna,0,ARAKU,Post Graduate,IND,ANDHRA PRADESH,No,2019,100000,50000
26,57,Biddika Ramaiah,0,ARAKU,Illiterate,IND,ANDHRA PRADESH,No,2019,0,415000
27,54,Dr. Kasi Viswanadha Veera Venkata Satyanarayana Reddy Kosuri,0,ARAKU,Doctorate,BJP,ANDHRA PRADESH,No,2019,2200000,11443485
28,61,Kangala Baladora,0,ARAKU,Illiterate,IND,ANDHRA PRADESH,No,2019,0,340500
29,46,Chinta Anuradha,0,AMALAPURAM,Graduate,YSRCP,ANDHRA PRADESH,Yes,2019,2431407,85993362
30,30,Ganti Harish Madhur,0,AMALAPURAM,Graduate Professional,TDP,ANDHRA PRADESH,No,2019,1537488,73049918
31,49,Janga Goutham,0,AMALAPURAM,Graduate,INC,ANDHRA PRADESH,No,2019,0,14768500
32,59,Manepalli Ayyaji Vema,0,AMALAPURAM,Graduate Professional,BJP,ANDHRA PRADESH,No,2019,0,6785061
33,68,N. Reddeppa,0,CHITTOOR,Post Graduate,YSRCP,ANDHRA PRADESH,Yes,2019,1341542,17355862
34,28,A. Hemanth,0,CHITTOOR,5th Pass,IND,ANDHRA PRADESH,No,2019,0,50000
35,37,Narava Satyavathi,0,ARAKU,10th Pass,IND,ANDHRA PRADESH,No,2019,0,964000
36,46,Shruti Devi Vyricherla,0,ARAKU,Graduate Professional,INC,ANDHRA PRADESH,No,2019,0,23592023
37,50,Swamula Subrahamanyam,0,ARAKU,Graduate,Jana Jagruti Party,ANDHRA PRADESH,No,2019,870000,2100000
38,49,Vampuru Gangulaiah,3,ARAKU,10th Pass,Janasena Party,ANDHRA PRADESH,No,2019,320000,2567059
39,72,Vyricherla Kishore Chandra Suryanarayana Deo,0,ARAKU,Post Graduate,TDP,ANDHRA PRADESH,No,2019,0,65729020
40,48,Talari Rangaiah,2,ANANTAPUR,Doctorate,YSRCP,ANDHRA PRADESH,Yes,2019,1135547,11773091
41,56,G. Lalitha,0,ANANTAPUR,Graduate,SUCI(C),ANDHRA PRADESH,No,2019,0,1279676
42,43,Giddama Ranganayakulu,0,ANANTAPUR,Post Graduate,Vishwa Jana Party,ANDHRA PRADESH,No,2019,0,661000
43,33,Hamsa Devineni,0,ANANTAPUR,Post Graduate,BJP,ANDHRA PRADESH,No,2019,1700000,8762212
44,59,Mojas Raja Sekhar Duggirala,1,AMALAPURAM,Post Graduate,Janasena Party,ANDHRA PRADESH,No,2019,0,28930012
45,29,Mortha Sivarama Krishna,0,AMALAPURAM,Graduate,Pyramid Party of India,ANDHRA PRADESH,No,2019,0,0
46,41,Muralikrishna Kanderi,0,AMALAPURAM,Others,India Praja Bandhu Party,ANDHRA PRADESH,No,2019,0,12796
47,65,Panthagada Vijaya Chakravarthy,0,AMALAPURAM,Post Graduate,RPI(Khobragade),ANDHRA PRADESH,No,2019,0,550000
48,45,C. Punyamurthy,4,CHITTOOR,Others,BSP,ANDHRA PRADESH,No,2019,21635686,30323800
49,60,Cheemala. Rangappa,0,CHITTOOR,Graduate Professional,INC,ANDHRA PRADESH,No,2019,0,12832000
50,70,Jayaram Duggani,0,CHITTOOR,Graduate,BJP,ANDHRA PRADESH,No,2019,0,5100000
51,68,Naramalli Siva Prasad,0,CHITTOOR,Graduate Professional,TDP,ANDHRA PRADESH,No,2019,0,69628816
52,42,P. Ramachandran,0,CHITTOOR,Graduate Professional,IND,ANDHRA PRADESH,No,2019,2313000,3580500
53,27,Pallipattu. Abhinav Vishnu,0,CHITTOOR,Graduate Professional,Mundadugu Praja Party,ANDHRA PRADESH,No,2019,0,92600
54,58,Jagadeesh Devaragudi,9,ANANTAPUR,8th Pass,CPI,ANDHRA PRADESH,No,2019,2761973,25613277
55,46,Juturu Chinna Reddy Pavan Reddy,0,ANANTAPUR,Graduate,TDP,ANDHRA PRADESH,No,2019,84550726,373887429
56,30,K Rajiv Reddy,0,ANANTAPUR,Graduate Professional,INC,ANDHRA PRADESH,No,2019,1700000,7264263
57,70,Lingutla Rangaiah,0,ANANTAPUR,5th Pass,IND,ANDHRA PRADESH,No,2019,40000,208000
58,49,M.Venkatesulu,0,ANANTAPUR,10th Pass,Pyramid Party of India,ANDHRA PRADESH,No,2019,312273,2345567
59,40,Padchuri Radha Krishna,0,ANANTAPUR,Graduate,Radical Democrats Party,ANDHRA PRADESH,No,2019,0,1045000
60,30,Rajani Chelle,0,AMALAPURAM,Graduate,Jana Jagruti Party,ANDHRA PRADESH,No,2019,0,261767
61,34,Revu Sudhakar,0,AMALAPURAM,10th Pass,IND,ANDHRA PRADESH,No,2019,0,11000
62,48,Pothuru Rangaiah,0,ANANTAPUR,8th Pass,IND,ANDHRA PRADESH,No,2019,130000,1509000
63,50,Somanath Deshmukh,0,ANANTAPUR,10th Pass,IND,ANDHRA PRADESH,No,2019,300000,9327000
